word,won,word_length,attempts_used,total_guesses
sacrifice,1,9,0,7
girls,1,5,3,8
accord,1,6,4,9
meeting,1,7,0,6
photograph,1,10,2,9
hitler,1,6,1,7
joined,1,6,3,9
experiments,1,11,0,9
frat,0,4,6,9
pretty,1,6,0,5
calculator,1,10,2,9
mutilation,1,10,1,9
wiring,1,6,5,10
been,1,4,3,6
classic,1,7,1,6
public,1,6,4,10
usage,1,5,0,5
flowers,1,7,1,8
chairperson,1,11,0,10
madthumbs,1,9,3,11
local,1,5,1,5
tend,1,4,3,7
integration,1,11,0,8
project,1,7,1,8
beginning,1,9,0,5
unfolds,1,7,4,11
rick,0,4,6,7
source,1,6,2,8
shores,1,6,2,7
hayden,1,6,4,10
clicking,1,8,1,7
county,1,6,3,9
drip,0,4,6,9
scene,1,5,2,6
land,1,4,3,7
min,1,3,4,7
bruce,1,5,3,8
wwwja,0,5,6,7
telelflora,1,10,1,8
keywords,1,8,1,9
uses,1,4,0,3
written,1,7,0,6
jalen,0,5,6,9
ipc,0,3,6,7
app,0,3,6,7
respective,1,10,0,8
bridge,1,6,1,7
round,1,5,4,9
among,1,5,1,6
indian,1,6,2,6
ever,1,4,0,3
non,1,3,2,4
gathering,1,9,0,8
corporation,1,11,0,8
exclusions,1,10,0,9
agency,1,6,2,8
ccbiogen,1,8,3,10
presenter,1,9,0,6
serious,1,7,1,7
affordable,1,10,2,10
told,0,4,6,9
magazine,1,8,0,7
massage,1,7,1,6
man,1,3,3,6
due,1,3,1,4
mast,0,4,6,9
improve,1,7,2,9
japanese,1,8,0,6
drug,1,4,5,9
club,1,4,5,9
karma,1,5,1,5
silver,1,6,1,7
methods,1,7,3,10
match,1,5,5,10
lakes,1,5,3,8
province,1,8,1,9
recently,1,8,0,7
changed,1,7,3,10
maximum,1,7,2,7
eyes,1,4,1,4
slide,1,5,4,9
warning,1,7,1,7
proficiency,1,11,1,10
won,1,3,5,8
lubbock,1,7,4,10
pension,1,7,1,7
runs,1,4,5,9
europe,1,6,1,6
tau,0,3,6,8
daisy,1,5,2,7
guideline,1,9,2,9
modified,1,8,1,7
allendale,1,9,2,7
hey,0,3,6,7
vampire,1,7,0,7
memes,0,5,6,8
temperament,1,11,1,8
starsmerchant,1,13,1,10
entry,1,5,0,5
associated,1,10,0,8
tennessee,1,9,0,4
laplink,1,7,5,11
implications,1,12,0,10
symposia,1,8,1,8
edutainment,1,11,0,8
names,1,5,1,6
residents,1,9,0,7
staten,1,6,3,8
force,1,5,1,6
facials,1,7,2,8
malpractice,1,11,1,10
identified,1,10,0,6
automatically,1,13,0,9
its,1,3,4,7
parent,1,6,2,8
alan,1,4,1,4
bookings,1,8,1,8
drives,1,6,1,7
bulk,0,4,6,8
double,1,6,3,9
minimum,1,7,2,6
competitive,1,11,0,8
shirts,1,6,4,9
warehouse,1,9,1,9
karl,1,4,5,9
color,1,5,2,6
planetarium,1,11,0,10
fisheries,1,9,0,6
violence,1,8,0,7
readers,1,7,0,5
client,1,6,2,8
park,1,4,5,9
daughter,1,8,1,9
hub,0,3,6,8
entity,1,6,0,5
system,1,6,1,6
month,1,5,3,8
minidiscs,1,9,1,7
jumps,0,5,6,8
swat,1,4,5,9
procedures,1,10,0,8
copy,0,4,6,7
jerusalem,1,9,1,9
keywords,1,8,1,9
jan,1,3,4,7
lancers,1,7,2,9
tue,1,3,2,5
attention,1,9,0,6
card,1,4,4,8
orders,1,6,0,5
thumbzilla,1,10,2,11
homo,1,4,4,7
standpoints,1,11,1,9
offset,1,6,2,7
chain,1,5,4,9
scholarship,1,11,0,9
science,1,7,0,5
stationed,1,9,1,9
inquiries,1,9,0,7
junior,1,6,2,8
tower,1,5,3,8
mark,1,4,2,6
status,1,6,1,5
water,1,5,3,8
stated,1,6,1,6
hairy,1,5,2,7
romance,1,7,0,7
clients,1,7,1,8
compiler,1,8,1,9
fri,1,3,3,6
latino,1,6,3,9
interface,1,9,0,8
victoria,1,8,1,8
considerable,1,12,1,12
aerodynamic,1,11,0,10
quadruples,1,10,2,11
compare,1,7,0,7
inhalants,1,9,1,8
escape,1,6,2,7
storage,1,7,0,7
sport,1,5,3,8
committee,1,9,0,6
helpful,1,7,2,8
roll,1,4,4,7
automatic,1,9,1,8
intricate,1,9,0,7
tickets,1,7,1,7
stay,1,4,2,6
least,1,5,0,5
complicated,1,11,0,10
paper,1,5,3,7
shoulder,1,8,1,9
lord,1,4,4,8
space,1,5,1,6
staff,1,5,1,5
avert,1,5,3,8
box,1,3,5,8
pittsburgh,1,10,1,10
roller,1,6,3,7
consistent,1,10,0,7
gamecube,1,8,1,8
sample,1,6,2,8
million,1,7,1,6
korean,1,6,3,9
overseers,1,9,0,5
mean,1,4,3,7
hip,0,3,6,7
provides,1,8,0,8
nude,1,4,3,7
ercolano,1,8,2,9
responsibility,1,14,0,11
participants,1,12,0,8
manual,1,6,2,7
growing,1,7,1,7
system,1,6,1,6
acceptable,1,10,0,7
advertising,1,11,0,10
man,1,3,3,6
watertown,1,9,1,8
control,1,7,2,8
silver,1,6,1,7
dissent,1,7,1,7
navy,1,4,4,8
substance,1,9,2,10
high,0,4,6,7
invision,1,8,1,6
productions,1,11,0,10
kansas,1,6,1,5
kijiji,1,6,3,6
only,1,4,2,6
nov,1,3,2,5
ticket,1,6,3,8
responsibilities,1,16,0,10
located,1,7,3,10
infrastructure,1,14,0,10
lake,1,4,4,8
educational,1,11,0,10
together,1,8,0,6
brooklyn,1,8,3,10
listed,1,6,2,8
needle,1,6,0,4
merger,1,6,1,5
territory,1,9,0,6
architecture,1,12,0,8
air,1,3,1,4
summer,1,6,3,8
found,1,5,3,8
cnet,1,4,1,5
physics,1,7,3,9
toe,1,3,4,7
create,1,6,0,5
thorough,1,8,3,9
caribbean,1,9,0,7
ever,1,4,0,3
review,1,6,0,5
hummer,1,6,4,9
lewandowski,1,11,0,10
lakeshore,1,9,1,9
miracle,1,7,2,9
discretion,1,10,0,9
readers,1,7,0,5
indians,1,7,1,6
ral,0,3,6,8
average,1,7,0,5
acknowledge,1,11,1,11
imaging,1,7,1,6
fraud,1,5,5,10
tribe,1,5,4,9
risk,1,4,4,8
forge,1,5,2,7
approach,1,8,2,8
user,1,4,0,4
otis,0,4,6,8
jacob,0,5,6,7
joy,0,3,6,7
depends,1,7,1,6
thehes,1,6,1,5
mega,1,4,1,5
season,1,6,1,6
district,1,8,1,7
suppliers,1,9,0,7
diecast,1,7,1,8
north,1,5,3,8
interface,1,9,0,8
bloated,1,7,3,10
gwneud,0,6,6,8
genetic,1,7,1,7
booty,1,5,3,7
bank,1,4,4,8
announcements,1,13,1,10
lis,0,3,6,7
colombia,1,8,1,8
paz,0,3,6,7
nuclei,0,6,6,7
dense,1,5,2,6
suvlime,1,7,4,11
scope,1,5,3,8
worth,1,5,5,10
backup,1,6,3,9
deep,1,4,4,7
planets,1,7,1,8
restrictions,1,12,0,8
ansi,1,4,2,6
wellness,1,8,1,6
blowjob,1,7,3,8
outdone,1,7,4,10
shall,1,5,2,6
fujitsu,1,7,3,9
model,1,5,3,8
submit,1,6,3,9
photo,1,5,2,6
path,0,4,6,7
reading,1,7,0,7
adsl,1,4,1,5
macgill,1,7,5,11
sellers,1,7,0,4
zap,0,3,6,7
win,0,3,6,7
absolute,1,8,0,8
dips,1,4,4,8
genuinely,1,9,2,9
herself,1,7,1,7
xga,0,3,6,7
tied,1,4,3,7
weakness,1,8,2,8
handhelds,1,9,1,8
conference,1,10,0,6
denotes,1,7,3,9
disability,1,10,1,9
transportation,1,14,0,8
according,1,9,1,9
ohio,1,4,2,5
delia,1,5,1,6
maine,1,5,1,6
prayers,1,7,2,8
tritium,1,7,2,7
noosa,1,5,2,6
kong,0,4,6,8
changed,1,7,3,10
measurements,1,12,1,9
stir,1,4,5,9
lonely,1,6,5,10
san,1,3,2,5
hydrogeologists,1,15,1,12
flour,1,5,4,9
pictorial,1,9,2,10
planning,1,8,1,7
imperial,1,8,0,7
sun,0,3,6,8
paper,1,5,3,7
knowledge,1,9,0,8
uses,1,4,0,3
consensus,1,9,2,8
were,1,4,0,3
west,1,4,0,4
baringo,1,7,5,12
christian,1,9,1,9
young,1,5,4,9
own,1,3,4,7
pellets,1,7,2,7
forums,1,6,4,10
multiply,1,8,4,11
stars,1,5,1,5
else,1,4,0,3
architecture,1,12,0,8
enter,1,5,0,4
easter,1,6,1,6
vouch,0,5,6,8
review,1,6,0,5
among,1,5,1,6
cash,1,4,2,6
apparent,1,8,3,9
arlington,1,9,1,9
allocated,1,9,1,8
gambling,1,8,1,8
shape,1,5,1,6
sniffing,1,8,2,7
desktop,1,7,3,10
party,1,5,3,8
return,1,6,1,6
anaheim,1,7,2,8
paraphernalia,1,13,0,8
entrenched,1,10,0,7
insest,1,6,0,5
attachment,1,10,0,7
active,1,6,0,6
honduras,1,8,2,10
inlet,1,5,3,8
inetpub,1,7,1,8
visits,1,6,4,8
gulf,0,4,6,8
utah,1,4,3,7
long,1,4,4,8
mips,0,4,6,9
investment,1,10,0,7
relationships,1,13,0,11
loan,1,4,1,5
hidden,1,6,2,7
section,1,7,0,7
memory,1,6,0,5
academics,1,9,2,9
join,0,4,6,8
direction,1,9,0,8
smoking,1,7,2,9
internet,1,8,0,5
production,1,10,1,10
value,1,5,0,5
reckons,1,7,2,9
university,1,10,0,9
accurate,1,8,0,6
expected,1,8,0,6
balancing,1,9,1,8
city,0,4,6,7
hear,1,4,3,7
progress,1,8,0,6
adult,1,5,2,7
curse,1,5,5,10
considers,1,9,1,9
supervisor,1,10,1,9
girls,1,5,3,8
checked,1,7,2,7
noticed,1,7,3,10
collections,1,11,0,8
question,1,8,0,8
under,1,5,3,8
dimensione,1,10,2,9
usb,1,3,5,8
seventh,1,7,1,7
persuade,1,8,1,8
south,1,5,3,8
know,1,4,5,9
socket,1,6,2,8
kennedy,1,7,3,8
interview,1,9,1,8
residue,1,7,1,7
swmbo,0,5,6,7
depression,1,10,0,8
communications,1,14,0,9
potter,1,6,2,7
movies,1,6,1,7
neighborhood,1,12,0,9
higher,1,6,3,8
jennings,1,8,0,6
attended,1,8,1,6
missouri,1,8,1,7
happen,1,6,5,10
employ,1,6,1,7
country,1,7,3,10
spear,1,5,2,7
appeals,1,7,2,7
pleasure,1,8,0,7
flow,1,4,4,8
accounts,1,8,2,9
religion,1,8,1,8
flights,1,7,2,9
wishbone,1,8,2,10
tourist,1,7,3,9
break,1,5,2,7
increase,1,8,0,7
referring,1,9,0,6
first,1,5,3,8
unto,1,4,3,7
travelocity,1,11,1,11
pack,1,4,5,9
characters,1,10,0,7
folic,0,5,6,7
missed,1,6,2,7
stryker,1,7,1,7
creative,1,8,0,7
censorship,1,10,0,9
comment,1,7,1,7
baldacci,1,8,2,8
harness,1,7,0,6
detail,1,6,2,8
groups,1,6,2,8
replace,1,7,0,6
sponsored,1,9,2,9
symbiosis,1,9,2,8
resort,1,6,1,6
campaign,1,8,2,9
castelldefels,1,13,2,10
mention,1,7,0,6
significant,1,11,0,8
halima,1,6,5,10
bulgaria,1,8,1,8
hair,1,4,2,6
views,1,5,0,5
contain,1,7,1,7
basic,1,5,1,6
tokyo,1,5,3,7
generated,1,9,0,7
failed,1,6,2,8
sectors,1,7,2,8
aug,1,3,2,5
skincare,1,8,1,9
face,1,4,3,7
city,0,4,6,7
montgomery,1,10,0,8
dunedin,1,7,5,10
titten,1,6,3,7
sep,1,3,3,6
mouse,1,5,4,9
internationnales,1,16,0,9
abstract,1,8,2,8
beat,1,4,4,8
cakes,1,5,4,9
kubo,0,4,6,8
stores,1,6,0,5
bombardment,1,11,1,10
july,1,4,5,9
samsung,1,7,3,9
hit,1,3,5,8
resale,1,6,3,8
northern,1,8,1,7
german,1,6,2,8
arrighi,1,7,1,6
sex,1,3,4,7
affairs,1,7,2,7
burt,0,4,6,7
winners,1,7,1,7
sort,1,4,3,7
algerian,1,8,1,8
talk,1,4,3,7
barracks,1,8,3,9
uiq,0,3,6,7
throat,1,6,2,7
refinance,1,9,0,7
anything,1,8,1,8
partner,1,7,1,7
into,1,4,3,7
radio,1,5,2,7
archives,1,8,0,8
connected,1,9,1,7
russia,1,6,1,6
queen,1,5,3,7
detroit,1,7,1,7
sedan,1,5,1,6
north,1,5,3,8
went,1,4,1,5
modeling,1,8,2,10
beef,1,4,0,3
cinema,1,6,4,10
application,1,11,0,8
learning,1,8,0,7
deals,1,5,0,5
gas,1,3,1,4
bowls,1,5,3,8
weight,1,6,2,8
computers,1,9,0,9
worked,1,6,3,9
associated,1,10,0,8
visionary,1,9,1,9
association,1,11,0,7
addressing,1,10,1,9
increase,1,8,0,7
announced,1,9,1,8
rom,0,3,6,7
facility,1,8,1,8
site,1,4,5,9
below,1,5,4,9
official,1,8,2,8
beekeeping,1,10,0,7
participant,1,11,0,7
father,1,6,0,6
tickets,1,7,1,7
expenditures,1,12,0,10
garden,1,6,1,7
bonus,1,5,4,9
requests,1,8,0,6
highly,1,6,4,9
advanced,1,8,2,8
silver,1,6,1,7
category,1,8,0,8
threaten,1,8,0,6
chinese,1,7,1,7
box,1,3,5,8
hook,0,4,6,8
orange,1,6,2,8
yeah,0,4,6,8
contract,1,8,2,8
single,1,6,1,7
availability,1,12,0,7
phone,1,5,3,8
asking,1,6,4,10
anthony,1,7,3,9
sequencing,1,10,0,8
inspector,1,9,0,9
personalized,1,12,0,11
running,1,7,1,6
met,0,3,6,8
industry,1,8,1,9
creston,1,7,3,10
pounds,1,6,3,9
creation,1,8,1,9
computers,1,9,0,9
summary,1,7,3,9
everyone,1,8,0,6
korean,1,6,3,9
million,1,7,1,6
stable,1,6,3,9
modalities,1,10,0,9
modification,1,12,0,9
mission,1,7,2,7
communities,1,11,0,9
metal,1,5,0,5
perl,1,4,2,6
considerations,1,14,0,10
founded,1,7,2,8
amniotic,1,8,2,9
disability,1,10,1,9
players,1,7,0,7
lateral,1,7,1,6
established,1,11,0,9
psfile,1,6,4,10
hotels,1,6,1,7
emerged,1,7,1,6
rusty,0,5,6,10
ronald,1,6,2,8
gordon,1,6,4,9
pointing,1,8,3,9
forum,1,5,4,9
included,1,8,0,7
bottles,1,7,4,10
intended,1,8,1,6
japanese,1,8,0,6
april,1,5,2,7
items,1,5,1,6
season,1,6,1,6
slicing,1,7,4,10
camera,1,6,1,6
dataport,1,8,3,9
past,1,4,1,5
rodriguez,1,9,1,9
athletes,1,8,1,7
passed,1,6,1,6
corruption,1,10,1,9
modifying,1,9,2,10
vehicles,1,8,1,8
clip,1,4,5,9
bass,1,4,3,6
image,1,5,3,8
fay,0,3,6,8
springs,1,7,2,8
cockpit,1,7,3,9
anything,1,8,1,8
invading,1,8,3,9
christm,0,7,6,12
intention,1,9,0,5
validity,1,8,1,8
disco,1,5,2,7
europe,1,6,1,6
blacks,1,6,3,9
gift,0,4,6,7
sport,1,5,3,8
butter,1,6,4,9
poker,1,5,3,8
condition,1,9,1,7
our,1,3,5,8
cartoon,1,7,2,8
investment,1,10,0,7
cable,1,5,1,6
binary,1,6,2,8
crieff,1,6,5,10
diffusion,1,9,2,9
oriented,1,8,0,7
attack,1,6,2,6
characters,1,10,0,7
custom,1,6,3,9
force,1,5,1,6
version,1,7,0,7
servers,1,7,0,4
courage,1,7,0,7
chancellor,1,10,0,8
state,1,5,2,6
mini,1,4,3,6
day,0,3,6,8
apache,1,6,1,6
applicant,1,9,1,8
xlibmesa,1,8,1,9
benefit,1,7,1,7
maine,1,5,1,6
trailblazers,1,12,0,9
racing,1,6,5,11
videos,1,6,0,6
version,1,7,0,7
attached,1,8,2,8
great,1,5,1,6
recently,1,8,0,7
boulevard,1,9,0,9
elliott,1,7,1,6
ibm,1,3,5,8
adware,1,6,1,6
mcafee,1,6,0,5
ask,1,3,1,4
grey,1,4,5,9
florist,1,7,4,11
natively,1,8,1,9
survey,1,6,2,8
jeff,0,4,6,7
download,1,8,3,9
skills,1,6,3,7
blue,1,4,3,7
mechanical,1,10,0,8
mind,1,4,5,9
des,1,3,5,8
archives,1,8,0,8
content,1,7,1,6
amorous,1,7,4,10
yet,1,3,2,5
numbers,1,7,1,8
administration,1,14,0,9
family,1,6,2,8
cnet,1,4,1,5
ago,1,3,2,5
thursday,1,8,2,10
grandfather,1,11,1,10
boxes,0,5,6,9
journal,1,7,2,9
parking,1,7,3,10
holiday,1,7,1,8
clara,1,5,1,5
systems,1,7,0,5
alert,1,5,2,7
den,0,3,6,8
norsk,1,5,4,9
conference,1,10,0,6
implement,1,9,0,7
countless,1,9,1,9
bangkok,1,7,2,8
sam,1,3,5,8
premium,1,7,1,7
answer,1,6,0,6
change,1,6,1,7
aortic,1,6,2,8
exactly,1,7,1,8
impacts,1,7,1,8
freedom,1,7,0,6
north,1,5,3,8
trucking,1,8,5,13
availability,1,12,0,7
government,1,10,0,8
grip,1,4,5,9
smoking,1,7,2,9
vacation,1,8,1,8
operators,1,9,1,8
pifco,0,5,6,9
maiden,1,6,3,9
trends,1,6,0,6
psychiatry,1,10,2,11
voip,0,4,6,7
purposes,1,8,1,7
heinrich,1,8,0,6
penguins,1,8,1,8
arts,1,4,1,5
ronald,1,6,2,8
ensure,1,6,0,5
families,1,8,1,8
rich,0,4,6,7
rehabilitation,1,14,0,10
advisor,1,7,1,8
flashing,1,8,3,11
chat,1,4,2,6
conference,1,10,0,6
analyzing,1,9,1,8
commentary,1,10,2,11
effects,1,7,0,5
black,1,5,3,8
affirms,1,7,3,9
play,1,4,1,5
stories,1,7,0,6
months,1,6,2,8
edit,1,4,1,5
ignore,1,6,0,6
science,1,7,0,5
translations,1,12,0,8
expression,1,10,0,8
film,1,4,4,8
vehicles,1,8,1,8
culture,1,7,3,9
gettin,1,6,5,10
welded,1,6,5,9
marie,1,5,4,9
magazines,1,9,0,8
knight,0,6,6,10
republican,1,10,0,10
parent,1,6,2,8
cat,1,3,5,8
goldhil,0,7,6,8
diffs,1,5,5,9
method,1,6,2,8
abusive,1,7,2,9
amid,0,4,6,9
comics,1,6,3,8
abilities,1,9,0,7
cost,1,4,2,6
slightest,1,9,1,8
vision,1,6,2,7
airlines,1,8,0,7
hartree,1,7,0,5
passenger,1,9,0,7
fertilizer,1,10,1,8
club,1,4,5,9
